source_group,target_group,ligand,receptor,pathway,ligand_mean,receptor_mean,ligand_pct,receptor_pct,score,reference
Ionocyte,Hillock,EGF,EGFR,EGF-EGFR,0.073909126,0.2688612,2.5510204081632653,11.69284467713787,0.019871296,Shaykhiev 2017
Ciliated,Hillock,DLL1,NOTCH1,Notch,0.43699107,0.04543789,16.363636363636363,1.9197207678883073,0.019855952,Basal cell fate
Ionocyte,Ciliated,DLL1,NOTCH3,Notch,0.49789733,0.03934,16.83673469387755,1.7127799736495388,0.01958728,Basal cell fate
Secretory,Basal,EGF,EGFR,EGF-EGFR,0.010662103,1.7905077,0.5218377765173,51.32345156167284,0.019090578,Shaykhiev 2017
Suprabasal,Secretory,DLL1,NOTCH1,Notch,0.11461787,0.16559707,5.072241008300031,7.180941576857629,0.018980382,Basal cell fate
Suprabasal,Ciliated,LTC4S,CYSLTR1,CysLT,0.8157669,0.022708392,32.677528435290505,0.9486166007905139,0.018524753,Ualiyeva 2020
Ionocyte,Ionocyte,DLL1,NOTCH3,Notch,0.49789733,0.036960036,16.83673469387755,1.530612244897959,0.018402303,Basal cell fate
Ciliated,Basal,WNT5A,FZD6,Wnt,0.025270099,0.72519636,1.0540184453227932,24.695606140815247,0.018325783,Planar polarity
Secretory,Ionocyte,DLL1,NOTCH1,Notch,0.050149634,0.35447997,2.1554169030062393,13.26530612244898,0.01777704,Basal cell fate
Basal,Ciliated,DLL1,NOTCH3,Notch,0.44593656,0.03934,14.849126521969296,1.7127799736495388,0.017543145,Basal cell fate
Secretory,Basal,ALOX5,CYSLTR1,CysLT,0.0548236,0.31419545,2.64322178105502,10.322922181048174,0.017225325,Ualiyeva 2020
Ciliated,Ciliated,DLL1,NOTCH3,Notch,0.43699107,0.03934,16.363636363636363,1.7127799736495388,0.01719123,Basal cell fate
Hillock,Hillock,WNT5A,FZD6,Wnt,0.117815614,0.14429577,5.4101221640488655,6.631762652705062,0.017000295,Planar polarity
Ionocyte,Basal,ALOX5,CYSLTR1,CysLT,0.05406812,0.31419545,2.0408163265306123,10.322922181048174,0.016987957,Ualiyeva 2020
Basal,Ionocyte,DLL1,NOTCH3,Notch,0.44593656,0.036960036,14.849126521969296,1.530612244897959,0.016481832,Basal cell fate
Ionocyte,Secretory,PTGS2,PTGER2,PGE2,1.164658,0.013974958,36.734693877551024,0.5785592739648326,0.016276047,COX-2 pathway
Secretory,Hillock,DLL1,NOTCH2,Notch,0.050149634,0.322432,2.1554169030062393,13.961605584642234,0.016169848,Basal cell fate
Ciliated,Ionocyte,DLL1,NOTCH3,Notch,0.43699107,0.036960036,16.363636363636363,1.530612244897959,0.016151205,Basal cell fate
Ciliated,Secretory,EGF,EGFR,EGF-EGFR,0.01998624,0.75314337,0.8432147562582345,28.587634713556437,0.015052504,Shaykhiev 2017
Ionocyte,Ciliated,DLL1,NOTCH1,Notch,0.49789733,0.030082978,16.83673469387755,1.185770750988142,0.014978235,Basal cell fate
Secretory,Ciliated,BMP4,BMPR1A,BMP,0.03441633,0.42891842,1.5655133295519004,16.83794466403162,0.014761797,Epithelial differentiation
Basal,Ciliated,DLL1,NOTCH1,Notch,0.44593656,0.030082978,14.849126521969296,1.185770750988142,0.0134151,Basal cell fate
Basal,Hillock,BMP4,BMPR1A,BMP,0.108450375,0.121550314,4.129168872419269,5.4101221640488655,0.013182177,Epithelial differentiation
Ciliated,Ciliated,DLL1,NOTCH1,Notch,0.43699107,0.030082978,16.363636363636363,1.185770750988142,0.0131459925,Basal cell fate
Suprabasal,Hillock,DLL1,NOTCH3,Notch,0.11461787,0.1140084,5.072241008300031,5.4101221640488655,0.013067399,Basal cell fate
Ionocyte,Secretory,LTC4S,CYSLTR1,CysLT,0.19962968,0.06508077,6.63265306122449,2.994895065229722,0.012992053,Ualiyeva 2020
Secretory,Secretory,DLL1,NOTCH3,Notch,0.050149634,0.25456712,2.1554169030062393,11.06069200226886,0.012766448,Basal cell fate
Secretory,Suprabasal,BMP4,BMPR1A,BMP,0.03441633,0.36982623,1.5655133295519004,16.63080233630495,0.0127280615,Epithelial differentiation
Ciliated,Hillock,BMP4,BMPR1A,BMP,0.10407738,0.121550314,4.137022397891963,5.4101221640488655,0.012650638,Epithelial differentiation
Secretory,Suprabasal,ALOX5,CYSLTR1,CysLT,0.0548236,0.22373492,2.64322178105502,9.375960651706118,0.012265953,Ualiyeva 2020
Ionocyte,Suprabasal,ALOX5,CYSLTR1,CysLT,0.05406812,0.22373492,2.0408163265306123,9.375960651706118,0.012096926,Ualiyeva 2020
Basal,Ciliated,LTC4S,CYSLTR1,CysLT,0.5324057,0.022708392,17.893065113816835,0.9486166007905139,0.012090077,Ualiyeva 2020
Secretory,Basal,DLL1,NOTCH2,Notch,0.050149634,0.23012502,2.1554169030062393,8.655373213340392,0.011540686,Basal cell fate
Suprabasal,Hillock,BMP4,BMPR1A,BMP,0.09218986,0.121550314,4.303719643406087,5.4101221640488655,0.011205707,Epithelial differentiation
Ciliated,Secretory,WNT5A,FZD6,Wnt,0.025270099,0.42681444,1.0540184453227932,17.413499716392515,0.010785643,Planar polarity
Suprabasal,Ionocyte,EGF,EGFR,EGF-EGFR,0.0040746955,2.5787716,0.18444512757454656,68.87755102040816,0.010507709,Shaykhiev 2017
Suprabasal,Suprabasal,EGF,EGFR,EGF-EGFR,0.0040746955,2.5648727,0.18444512757454656,79.89548109437442,0.010451076,Shaykhiev 2017
Ciliated,Ciliated,EGF,EGFR,EGF-EGFR,0.01998624,0.49845788,0.8432147562582345,19.104084321475625,0.009962299,Shaykhiev 2017
Ciliated,Ionocyte,WNT5A,FZD6,Wnt,0.025270099,0.3933353,1.0540184453227932,13.77551020408163,0.009939622,Planar polarity
Secretory,Basal,DLL1,NOTCH3,Notch,0.050149634,0.19764137,2.1554169030062393,7.5966119640021175,0.009911642,Basal cell fate
Suprabasal,Ionocyte,LTC4S,CYSLTR1,CysLT,0.8157669,0.011828883,32.677528435290505,0.5102040816326531,0.00964961,Ualiyeva 2020
Secretory,Ciliated,DLL1,NOTCH2,Notch,0.050149634,0.18702771,2.1554169030062393,7.430830039525691,0.009379371,Basal cell fate
Hillock,Basal,LTC4S,CYSLTR1,CysLT,0.028633587,0.31419545,1.3961605584642234,10.322922181048174,0.008996543,Ualiyeva 2020
Suprabasal,Hillock,LTC4S,CYSLTR1,CysLT,0.8157669,0.0109279575,32.677528435290505,0.5235602094240838,0.008914665,Ualiyeva 2020
Secretory,Basal,BMP4,BMPR1A,BMP,0.03441633,0.25766137,1.5655133295519004,9.290629962943356,0.008867758,Epithelial differentiation
Secretory,Secretory,BMP4,BMPR1A,BMP,0.03441633,0.25407016,1.5655133295519004,11.026659103800341,0.0087441625,Epithelial differentiation
Ciliated,Ciliated,LTC4S,CYSLTR1,CysLT,0.3713606,0.022708392,14.09749670619236,0.9486166007905139,0.008433002,Ualiyeva 2020
Secretory,Secretory,DLL1,NOTCH1,Notch,0.050149634,0.16559707,2.1554169030062393,7.180941576857629,0.008304632,Basal cell fate
Secretory,Ionocyte,BMP4,BMPR1A,BMP,0.03441633,0.24103297,1.5655133295519004,8.16326530612245,0.00829547,Epithelial differentiation
